STATE,MAILCODE,CLUSTER,HOMEOWNR,GENDER,DATASRCE,SOLIH,VETERANS,RFA_2R,RFA_2A,GEOCODE2,DOMAIN_A,DOMAIN_B
IL,A,36,U,F,0,,,L,E,C,T,2
CA,A,14,H,M,3,,,L,G,A,S,1
NC,A,43,U,M,3,,,L,E,C,R,2
CA,A,44,U,F,3,,,L,E,C,R,2
FL,A,16,H,F,3,12,,L,F,A,S,2
other,A,40,U,F,0,,,L,F,C,T,2
IN,A,40,H,F,3,,,L,E,D,T,2
other,A,39,U,F,1,,,L,E,C,T,2
other,A,45,U,M,3,,,L,F,D,R,2
other,A,35,U,M,0,,,L,F,B,T,1
other,A,53,U,F,1,,,L,F,D,R,3
IN,A,17,U,M,3,,,L,F,B,S,2
other,A,51,H,F,3,,,L,D,D,R,3
other,A,40,U,M,0,12,,L,G,B,T,2
other,A,35,H,M,3,,,L,F,D,T,1
CA,A,2,H,M,1,,,L,F,A,U,1
MI,A,20,U,M,3,,,L,F,A,S,2
IL,A,43,U,F,2,,,L,G,C,R,2
FL,B,16,H,F,3,,,L,F,B,S,2
NC,A,27,U,M,0,,,L,F,C,C,2
other,A,12,H,F,3,,,L,D,A,S,1
MI,A,43,U,M,3,,,L,G,C,R,2
FL,A,40,U,F,0,,,L,G,C,T,2
IL,A,22,U,F,0,,,L,E,A,C,1
other,A,35,H,F,3,,,L,E,A,T,1
CA,A,35,H,M,3,,,L,F,B,T,1
IL,A,13,H,F,2,,,L,G,A,S,1
MO,A,35,H,M,3,,,L,E,D,T,1
TX,A,35,H,F,3,,,L,E,A,T,1
IL,A,40,U,F,3,,,L,E,A,T,2
TX,A,35,U,M,0,,,L,D,A,T,1
MO,A,8,H,M,3,,,L,F,A,U,3
NC,A,25,U,F,3,,,L,G,B,C,2
FL,A,15,U,F,3,,,L,F,A,S,1
other,A,40,U,F,0,,,L,F,B,R,2
other,A,42,U,M,0,,,L,F,C,R,1
TX,A,12,H,M,3,,,L,G,B,S,1
CA,A,11,U,F,3,,,L,G,A,S,1
other,A,17,H,F,2,,,L,F,A,S,2
other,A,36,H,F,3,,,L,G,D,T,2
IL,A,28,U,F,0,,,L,G,B,C,2
MI,A,2,U,F,0,,,L,E,B,U,1
WA,A,14,H,M,3,,,L,F,A,S,1
FL,A,35,H,M,3,,,L,F,A,T,1
WI,A,18,H,F,3,,,L,F,B,S,2
other,A,24,H,F,3,,Y,L,D,C,C,1
other,A,40,U,F,2,,Y,L,E,C,R,2
IN,A,34,H,M,2,,Y,L,F,C,T,1
WA,A,5,U,M,0,,,L,F,A,U,2
TX,A,31,H,M,2,,,L,F,C,C,3
IL,A,44,U,F,2,12,,L,F,B,R,2
NC,A,32,H,F,3,,,L,F,B,C,3
NC,A,27,H,F,2,,,L,D,B,C,2
FL,A,18,H,F,3,,,L,E,A,S,2
IL,A,36,H,M,2,,,L,F,C,T,2
CA,A,46,U,F,0,,Y,L,G,A,R,2
CA,A,3,U,F,2,,,L,E,A,U,1
other,A,50,H,F,2,,,L,F,D,R,3
TX,A,18,U,M,0,,,L,F,A,S,2
IN,A,44,H,F,2,,Y,L,F,C,R,2
TX,A,40,H,M,3,,Y,L,F,A,T,2
GA,A,44,H,F,2,,,L,F,B,R,2
other,A,53,H,M,2,,,L,F,D,R,3
TX,A,40,H,F,3,,Y,L,F,A,T,2
GA,A,46,H,M,3,,,L,F,D,R,2
NC,A,17,H,F,3,,,L,D,B,S,2
FL,A,28,U,M,3,,,L,G,B,C,2
IL,A,43,U,F,0,,,L,E,A,R,2
CA,A,7,U,F,0,,,L,G,A,U,2
IN,A,45,U,M,2,,,L,G,D,R,2
CA,A,37,H,F,2,,,L,D,C,T,2
other,A,40,H,other,3,,Y,L,G,D,T,2
other,A,14,U,F,2,,,L,F,B,S,1
NC,A,53,U,F,0,,Y,L,F,D,R,3
CA,A,10,H,M,2,12,,L,E,A,U,4
MI,A,24,H,F,3,,,L,F,A,C,1
other,A,38,U,F,0,,,L,G,A,T,2
IL,A,21,H,M,2,,,L,E,A,S,3
CA,A,13,H,F,2,,,L,F,A,S,1
FL,A,9,H,F,3,,,L,F,A,U,3
WI,A,11,H,M,1,,,L,G,B,S,1
FL,A,28,U,M,1,,,L,F,B,C,2
TX,A,11,H,F,3,,,L,E,A,S,1
other,A,46,U,M,2,,,L,F,D,R,2
CA,A,7,U,F,0,,,L,F,A,U,2
GA,A,43,U,F,1,,Y,L,F,B,R,2
CA,A,3,H,F,3,,,L,F,A,U,1
other,A,28,H,M,1,,Y,L,F,C,C,2
FL,A,29,H,F,3,,,L,G,B,C,2
TX,A,30,H,F,3,,,L,G,C,C,3
other,A,25,U,M,0,,,L,G,B,C,2
NC,A,45,H,F,2,,Y,L,F,D,R,2
other,A,31,H,M,3,,,L,D,B,C,3
GA,A,18,H,M,3,,,L,E,A,S,2
other,B,27,H,M,3,,,L,E,C,C,2
other,A,45,U,F,0,,,L,E,D,R,2
other,A,36,H,F,3,,,L,F,C,T,2
MO,A,40,U,M,0,,,L,D,C,T,2
FL,A,29,H,F,3,12,,L,E,B,C,2
CA,A,13,U,M,0,,,L,F,A,S,1
FL,A,4,U,F,2,12,,L,F,A,U,2
other,A,12,U,F,2,,,L,E,B,S,1
CA,A,10,H,F,3,,,L,G,A,U,4
other,A,44,U,M,2,,,L,E,B,R,2
TX,A,3,H,F,3,,,L,G,A,U,1
CA,A,22,U,F,0,,,L,G,A,C,1
other,A,41,U,F,0,,,L,D,B,T,3
FL,A,18,H,M,3,12,,L,G,B,S,2
other,A,51,U,F,2,,,L,F,D,R,3
CA,A,13,H,M,3,,,L,G,A,S,1
TX,A,24,U,other,1,,,L,E,C,C,1
TX,A,49,H,M,3,12,,L,F,D,R,2
NC,A,36,H,F,3,,,L,F,D,T,2
CA,A,24,H,M,2,,,L,G,A,C,1
other,A,12,H,F,3,,Y,L,F,B,S,1
